"date","count","lang","page","rank","month","title"
2008-03-22,121,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-25,221,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-24,145,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-27,243,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-26,187,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-29,138,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-03-28,140,"de","Ausl%C3%A4nder","-1","200803","Ausländer"
2008-04-30,205,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-15,267,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-14,302,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-17,345,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-16,257,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-11,234,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-10,265,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-13,238,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-12,138,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-19,235,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-18,236,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-28,296,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-29,298,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-20,296,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-21,281,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-22,292,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-23,332,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-24,232,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-25,178,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-26,103,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-27,225,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-06,190,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-07,312,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-04,208,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-05,138,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-02,256,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-03,215,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-01,265,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-08,267,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-04-09,315,"de","Ausl%C3%A4nder","-1","200804","Ausländer"
2008-05-31,163,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-12,143,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-13,209,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-10,81,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-11,113,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-16,155,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-17,110,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-14,212,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-15,192,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-18,184,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-19,246,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-29,263,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-28,291,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-23,173,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-22,193,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-21,245,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-20,242,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-27,222,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-26,268,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-25,183,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-24,119,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-01,157,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-03,104,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-02,138,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-05,248,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-04,192,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-07,243,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-06,327,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-09,176,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-08,297,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-05-30,188,"de","Ausl%C3%A4nder","-1","200805","Ausländer"
2008-06-21,311,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-27,281,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-24,375,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
2008-06-25,299,"de","Ausl%C3%A4nder","-1","200806","Ausländer"
