"date","count","lang","page","rank","month","title"
2008-02-11,0,"de","Mare_Nostrum_(Marineoperation)","-1","200802","Mare_Nostrum_(Marineoperation)"
2008-02-10,0,"de","Mare_Nostrum_(Marineoperation)","-1","200802","Mare_Nostrum_(Marineoperation)"
2008-02-19,0,"de","Mare_Nostrum_(Marineoperation)","-1","200802","Mare_Nostrum_(Marineoperation)"
2008-02-18,0,"de","Mare_Nostrum_(Marineoperation)","-1","200802","Mare_Nostrum_(Marineoperation)"
2008-03-14,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-15,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-16,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-17,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-10,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-11,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-12,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-13,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-18,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-19,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-31,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-30,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-09,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-08,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-03,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-02,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-01,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-07,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-06,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-05,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-04,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-21,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
2008-03-20,0,"de","Mare_Nostrum_(Marineoperation)","-1","200803","Mare_Nostrum_(Marineoperation)"
